Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
117,Nelson Agholor,BAL,30,WR,17,3,45,35,77.80%,381,10.9,4,19,55.6,37,8.5,2.1,22.4,1
118,Marvin Mims*,DEN,21,WR,16,7,33,22,66.70%,377,17.1,1,9,48.5,60,11.4,1.4,23.6,2
119,Joe Mixon,CIN,27,RB,17,17,64,52,81.30%,376,7.2,3,14,54.7,45,5.9,3.1,22.1,0
120,Jalin Hyatt,NYG,22,WR,17,7,40,23,57.50%,373,16.2,0,11,47.5,58,9.3,1.4,21.9,1
121,Demarcus Robinson,LAR,29,WR,16,4,39,26,66.70%,371,14.3,4,20,59,37,9.5,1.6,23.2,2
122,Jaylen Warren,PIT,25,RB,17,0,74,61,82.40%,370,6.1,0,19,44.6,30,5,3.6,21.8,4
123,Nick Westbrook-Ikhine,TEN,26,WR,14,9,45,28,62.20%,370,13.2,3,18,57.8,33,8.2,2,26.4,0
124,Juwan Johnson,NOR,27,TE,13,11,59,37,62.70%,368,9.9,4,23,50.8,32,6.2,2.8,28.3,0
125,Brian Robinson Jr.,WAS,24,RB,15,15,43,36,83.70%,368,10.2,4,15,53.5,51,8.6,2.4,24.5,4
126,Kylen Granson,IND,25,TE,15,7,50,30,60.00%,368,12.3,1,19,46,46,7.4,2,24.5,0
127,Rashod Bateman,BAL,24,WR,16,12,56,32,57.10%,367,11.5,1,20,50,29,6.6,2,22.9,0
128,Durham Smythe,MIA,28,TE,16,14,43,35,81.40%,366,10.5,0,22,72.1,22,8.5,2.2,22.9,0
129,Tucker Kraft,GNB,23,TE,17,8,40,31,77.50%,355,11.5,2,18,67.5,43,8.9,1.8,20.9,0
130,Jameson Williams,DET,22,WR,12,10,42,24,57.10%,354,14.8,2,14,47.6,63,8.4,2,29.5,1
131,Rondale Moore,ARI,23,WR,17,8,62,40,64.50%,352,8.8,1,17,38.7,48,5.7,2.4,20.7,1
132,Tanner Hudson,CIN,29,TE,12,1,50,39,78.00%,352,9,1,21,58,26,7,3.3,29.3,0
133,Luke Musgrave,GNB,23,TE,11,9,46,34,73.90%,352,10.4,1,14,50,37,7.7,3.1,32,0
134,Tre Tucker,LVR,22,WR,16,1,34,19,55.90%,331,17.4,2,12,41.2,50,9.7,1.2,20.7,0
135,Brandon Powell,MIN,28,WR,17,2,44,29,65.90%,324,11.2,1,18,50,28,7.4,1.7,19.1,1
136,Zay Jones,JAX,28,WR,9,7,64,34,53.10%,321,9.4,2,14,43.8,36,5,3.8,35.7,0
137,Jerome Ford,CLE,24,RB,17,12,63,44,69.80%,319,7.3,5,16,41.3,50,5.1,2.6,18.8,1
138,Jahmyr Gibbs*,DET,21,RB,15,3,71,52,73.20%,316,6.1,1,20,46.5,24,4.5,3.5,21.1,2
139,Trenton Irwin,CIN,28,WR,16,5,32,25,78.10%,316,12.6,1,15,59.4,32,9.9,1.6,19.8,2
140,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,50.00%,315,15,1,14,40.5,46,7.5,1.3,19.7,1
141,Ezekiel Elliott,NWE,28,RB,17,5,65,51,78.50%,313,6.1,2,12,40,23,4.8,3,18.4,2
142,Tony Pollard,DAL,26,RB,17,17,67,55,82.10%,311,5.7,0,12,43.3,60,4.6,3.2,18.3,3
143,Allen Lazard,NYJ,28,WR,14,12,49,23,46.90%,311,13.5,1,17,40.8,39,6.3,1.6,22.2,0
144,Pat Freiermuth,PIT,25,TE,12,9,47,32,68.10%,308,9.6,2,17,48.9,29,6.6,2.7,25.7,0
145,Noah Gray,KAN,24,TE,17,10,41,28,68.30%,305,10.9,2,16,53.7,34,7.4,1.6,17.9,0
146,Michael Mayer,LVR,22,TE,14,12,40,27,67.50%,304,11.3,2,19,60,32,7.6,1.9,21.7,0
147,Josh Jacobs,LVR,25,RB,13,13,54,37,68.50%,296,8,0,15,55.6,21,5.5,2.8,22.8,3
148,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,57.90%,296,13.5,3,14,47.4,31,7.8,1.5,19.7,0
149,Taysom Hill,NOR,33,QB,16,7,40,33,82.50%,291,8.8,2,11,57.5,36,7.3,2.1,18.2,1
150,Donald Parham,LAC,26,TE,14,8,41,27,65.90%,285,10.6,4,22,61,24,7,1.9,20.4,0
151,Brandon Johnson,DEN,25,WR,13,2,30,19,63.30%,284,14.9,4,12,60,50,9.5,1.5,21.8,0
152,Saquon Barkley,NYG,26,RB,14,14,60,41,68.30%,280,6.8,4,16,43.3,46,4.7,2.9,20,2
153,Allen Robinson,PIT,30,WR,17,17,49,34,69.40%,280,8.2,0,9,44.9,31,5.7,2,16.5,0
154,Greg Dortch,ARI,25,WR,16,4,41,24,58.50%,280,11.7,2,14,48.8,38,6.8,1.5,17.5,0
155,Jalen Tolbert,DAL,24,WR,17,6,36,22,61.10%,268,12.2,2,13,55.6,45,7.4,1.3,15.8,1
156,Jauan Jennings,SFO,26,WR,13,2,33,19,57.60%,265,13.9,1,12,48.5,31,8,1.5,20.4,0
157,JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,61.70%,260,9,1,13,42.6,37,5.5,2.6,23.6,0
158,Kenneth Walker III,SEA,23,RB,15,15,37,29,78.40%,259,8.9,1,9,43.2,64,7,1.9,17.3,1
159,Daniel Bellinger,NYG,23,TE,17,13,28,25,89.30%,255,10.2,0,6,39.3,26,9.1,1.5,15,0
160,Hunter Renfrow,LVR,28,WR,17,3,37,25,67.60%,255,10.2,0,11,40.5,38,6.9,1.5,15,1
161,Mack Hollins,ATL,30,WR,13,3,30,18,60.00%,251,13.9,0,9,46.7,45,8.4,1.4,19.3,0
162,Mike Williams,LAC,29,WR,3,3,26,19,73.10%,249,13.1,1,9,53.8,49,9.6,6.3,83,0
163,Colby Parkinson,SEA,24,TE,17,1,34,25,73.50%,247,9.9,2,11,52.9,27,7.3,1.5,14.5,0
164,A.T. Perry,NOR,24,WR,10,3,18,12,66.70%,246,20.5,4,10,61.1,44,13.7,1.2,24.6,0
165,Isiah Pacheco,KAN,24,RB,14,13,49,44,89.80%,244,5.5,2,12,44.9,33,5,3.1,17.4,1
166,Mike Gesicki,NWE,28,TE,17,10,45,29,64.40%,244,8.4,2,11,44.4,18,5.4,1.7,14.4,0
167,Skyy Moore,KAN,23,WR,14,8,38,21,55.30%,244,11.6,1,13,44.7,54,6.4,1.5,17.4,0
168,Rhamondre Stevenson,NWE,25,RB,12,12,51,38,74.50%,238,6.3,0,8,35.3,34,4.7,3.2,19.8,1
169,Braxton Berrios,MIA,28,WR,16,1,33,27,81.80%,238,8.8,1,15,57.6,22,7.2,1.7,14.9,1
170,Austin Hooper,LVR,29,TE,17,9,31,25,80.60%,234,9.4,0,12,61.3,21,7.5,1.5,13.8,0
171,Chuba Hubbard,CAR,24,RB,17,12,44,39,88.60%,233,6,0,9,36.4,25,5.3,2.3,13.7,1
172,Aaron Jones,GNB,29,RB,11,11,43,30,69.80%,233,7.8,1,13,39.5,51,5.4,2.7,21.2,2
173,Alex Erickson,LAC,31,WR,8,3,29,16,55.20%,232,14.5,1,12,48.3,27,8,2,29,0
174,KhaDarel Hodge,ATL,28,WR,17,4,23,14,60.90%,232,16.6,0,13,60.9,52,10.1,0.8,13.6,1
175,Isaiah Hodgins,NYG,25,WR,17,9,33,21,63.60%,230,11,3,12,63.6,24,7,1.2,13.5,1
176,Xavier Gipson,NYJ,22,WR,17,3,38,21,55.30%,229,10.9,0,9,34.2,36,6,1.2,13.5,5
177,Javonte Williams,DEN,23,RB,16,13,58,47,81.00%,228,4.9,2,10,48.3,18,3.9,2.9,14.3,1
